quote_date,item_id,p_mean,p_75,p_median,p_25,p_sd,date,dateStata,dateISO,obs,year,month,quarter,itemName
200102,212917,0.59736,0.67,0.59,0.49,0.1937996,157,01/02/2001,01/02/2001,104038,2001,2,1,Ketchup
200102,212709,0.2427985,0.29,0.25,0.19,0.0806389,157,01/02/2001,01/02/2001,104038,2001,2,1,oranges
200102,212717,1.077698,1.21,1.07,0.88,0.2561582,157,01/02/2001,01/02/2001,104038,2001,2,1,apples
200103,212515,1.39491,1.5,1.29,1.19,0.412729,158,01/03/2001,01/03/2001,104696,2001,3,1,Tomatoes
200103,212717,1.089963,1.28,1.08,0.88,0.2522396,158,01/03/2001,01/03/2001,104696,2001,3,1,apples
200103,212709,0.2524444,0.29,0.25,0.2,0.0687917,158,01/03/2001,01/03/2001,104696,2001,3,1,oranges
200103,212917,0.6003175,0.67,0.59,0.49,0.193589,158,01/03/2001,01/03/2001,104696,2001,3,1,Ketchup
200104,212717,1.115037,1.29,1.08,0.89,0.2574864,159,01/04/2001,01/04/2001,105771,2001,4,2,apples
200104,212917,0.6036923,0.67,0.59,0.49,0.1972058,159,01/04/2001,01/04/2001,105771,2001,4,2,Ketchup
200104,212515,1.426015,1.54,1.29,1.19,0.4454604,159,01/04/2001,01/04/2001,105771,2001,4,2,Tomatoes
200104,212709,0.266,0.29,0.25,0.22,0.1170626,159,01/04/2001,01/04/2001,105771,2001,4,2,oranges
200105,212917,0.5983607,0.68,0.59,0.45,0.2232715,160,01/05/2001,01/05/2001,108055,2001,5,2,Ketchup
200105,212717,1.181397,1.3,1.09,0.98,0.3045078,160,01/05/2001,01/05/2001,108055,2001,5,2,apples
200105,212709,0.2496364,0.29,0.25,0.21,0.0678385,160,01/05/2001,01/05/2001,108055,2001,5,2,oranges
200105,212515,1.415658,1.52,1.3,1.19,0.3819906,160,01/05/2001,01/05/2001,108055,2001,5,2,Tomatoes
200106,212709,0.2542436,0.29,0.25,0.22,0.0723474,161,01/06/2001,01/06/2001,109596,2001,6,2,oranges
200106,212515,1.254417,1.3,1.1,0.99,0.4169731,161,01/06/2001,01/06/2001,109596,2001,6,2,Tomatoes
200106,212717,1.188864,1.3,1.1,0.99,0.2830412,161,01/06/2001,01/06/2001,109596,2001,6,2,apples
200106,212917,0.6096269,0.67,0.59,0.49,0.206774,161,01/06/2001,01/06/2001,109596,2001,6,2,Ketchup
200107,212917,0.6003817,0.67,0.59,0.49,0.192755,162,01/07/2001,01/07/2001,108549,2001,7,3,Ketchup
200107,212709,0.2702632,0.3,0.25,0.24,0.066596,162,01/07/2001,01/07/2001,108549,2001,7,3,oranges
200107,212515,1.168964,1.3,1.05,0.99,0.3984387,162,01/07/2001,01/07/2001,108549,2001,7,3,Tomatoes
200107,212717,1.245751,1.35,1.2,1.08,0.2755294,162,01/07/2001,01/07/2001,108549,2001,7,3,apples
200108,212515,1.160547,1.3,1.05,0.97,0.4269588,163,01/08/2001,01/08/2001,106934,2001,8,3,Tomatoes
200108,212709,0.264296,0.29,0.25,0.24,0.0614023,163,01/08/2001,01/08/2001,106934,2001,8,3,oranges
200108,212717,1.260036,1.4,1.21,1.08,0.2698423,163,01/08/2001,01/08/2001,106934,2001,8,3,apples
200108,212917,0.6159016,0.68,0.6,0.49,0.1821803,163,01/08/2001,01/08/2001,106934,2001,8,3,Ketchup
200109,212709,0.2522388,0.29,0.25,0.22,0.0624906,164,01/09/2001,01/09/2001,105656,2001,9,3,oranges
200109,212515,1.191213,1.295,1.09,0.99,0.3673978,164,01/09/2001,01/09/2001,105656,2001,9,3,Tomatoes
200109,212917,0.6347273,0.68,0.61,0.57,0.2070665,164,01/09/2001,01/09/2001,105656,2001,9,3,Ketchup
200109,212717,1.25513,1.33,1.19,1.08,0.2726659,164,01/09/2001,01/09/2001,105656,2001,9,3,apples
200110,212515,1.447464,1.65,1.32,1.18,0.3587968,165,01/10/2001,01/10/2001,106902,2001,10,4,Tomatoes
200110,212709,0.2517518,0.27,0.25,0.2,0.0750911,165,01/10/2001,01/10/2001,106902,2001,10,4,oranges
200110,212917,0.6391965,0.68,0.61,0.57,0.2069736,165,01/10/2001,01/10/2001,106902,2001,10,4,Ketchup
200110,212717,1.2084,1.3,1.19,1,0.2875348,165,01/10/2001,01/10/2001,106902,2001,10,4,apples
200111,212709,0.251963,0.27,0.25,0.22,0.0774851,166,01/11/2001,01/11/2001,107581,2001,11,4,oranges
200111,212917,0.6230088,0.68,0.61,0.55,0.1860726,166,01/11/2001,01/11/2001,107581,2001,11,4,Ketchup
200111,212515,1.269126,1.32,1.18,1.08,0.4009168,166,01/11/2001,01/11/2001,107581,2001,11,4,Tomatoes
200111,212717,1.19135,1.3,1.19,1.08,0.2626283,166,01/11/2001,01/11/2001,107581,2001,11,4,apples
200112,212515,1.416715,1.5,1.3,1.19,0.4155096,167,01/12/2001,01/12/2001,106644,2001,12,4,Tomatoes
200112,212917,0.6131356,0.68,0.6,0.57,0.1039617,167,01/12/2001,01/12/2001,106644,2001,12,4,Ketchup
200112,212709,0.2556855,0.29,0.25,0.2,0.0822971,167,01/12/2001,01/12/2001,106644,2001,12,4,oranges
200112,212717,1.190526,1.3,1.19,1.08,0.266445,167,01/12/2001,01/12/2001,106644,2001,12,4,apples
200201,212917,0.6120325,0.69,0.59,0.55,0.1049275,168,01/01/2002,01/01/2002,104308,2002,1,1,Ketchup
200201,212515,1.560245,1.74,1.45,1.35,0.3981046,168,01/01/2002,01/01/2002,104308,2002,1,1,Tomatoes
200201,212709,0.2638077,0.29,0.25,0.22,0.0787531,168,01/01/2002,01/01/2002,104308,2002,1,1,oranges
200201,212717,1.181136,1.3,1.19,1.01,0.2631424,168,01/01/2002,01/01/2002,104308,2002,1,1,apples
200202,212515,1.538261,1.74,1.47,1.38,0.3347888,169,01/02/2002,01/02/2002,102172,2002,2,1,Tomatoes
200202,212709,0.2548638,0.29,0.25,0.2,0.0803464,169,01/02/2002,01/02/2002,102172,2002,2,1,oranges
200202,212717,1.214201,1.3,1.19,1.08,0.2636607,169,01/02/2002,01/02/2002,102172,2002,2,1,apples
200202,212917,0.6311607,0.7,0.64,0.55,0.1188287,169,01/02/2002,01/02/2002,102172,2002,2,1,Ketchup
200203,212709,0.2573134,0.29,0.25,0.2,0.079499,170,01/03/2002,01/03/2002,104671,2002,3,1,oranges
200203,212917,0.6340678,0.7,0.64,0.55,0.1188854,170,01/03/2002,01/03/2002,104671,2002,3,1,Ketchup
200203,212515,2.127239,2.2,1.99,1.89,0.4567011,170,01/03/2002,01/03/2002,104671,2002,3,1,Tomatoes
200203,212717,1.23603,1.3,1.19,1.08,0.2713555,170,01/03/2002,01/03/2002,104671,2002,3,1,apples
200204,212515,1.916716,2.09,1.79,1.76,0.4932597,171,01/04/2002,01/04/2002,104217,2002,4,2,Tomatoes
200204,212709,0.2558113,0.29,0.25,0.22,0.067992,171,01/04/2002,01/04/2002,104217,2002,4,2,oranges
200204,212917,0.6341463,0.7,0.64,0.55,0.1295448,171,01/04/2002,01/04/2002,104217,2002,4,2,Ketchup
200204,212717,1.265487,1.39,1.21,1.08,0.2707602,171,01/04/2002,01/04/2002,104217,2002,4,2,apples
200205,212709,0.2574101,0.29,0.25,0.2,0.0824563,172,01/05/2002,01/05/2002,106651,2002,5,2,oranges
200205,212717,1.292888,1.43,1.3,1.08,0.2814487,172,01/05/2002,01/05/2002,106651,2002,5,2,apples
200205,212917,0.6337903,0.69,0.64,0.55,0.1303378,172,01/05/2002,01/05/2002,106651,2002,5,2,Ketchup
200205,212515,1.589823,1.79,1.52,1.29,0.5399937,172,01/05/2002,01/05/2002,106651,2002,5,2,Tomatoes
200206,212717,1.260571,1.385,1.19,1.08,0.2756791,173,01/06/2002,01/06/2002,106955,2002,6,2,apples
200206,212709,0.2450746,0.29,0.25,0.2,0.0672771,173,01/06/2002,01/06/2002,106955,2002,6,2,oranges
200206,212917,0.6336066,0.69,0.64,0.55,0.1255208,173,01/06/2002,01/06/2002,106955,2002,6,2,Ketchup
200206,212515,1.27293,1.32,1.1,0.99,0.4265398,173,01/06/2002,01/06/2002,106955,2002,6,2,Tomatoes
200207,212717,1.298556,1.49,1.29,1.14,0.2480357,174,01/07/2002,01/07/2002,106605,2002,7,3,apples
200207,212515,1.270766,1.41,1.19,0.99,0.4407251,174,01/07/2002,01/07/2002,106605,2002,7,3,Tomatoes
200207,212917,0.6269166,0.69,0.62,0.525,0.1248111,174,01/07/2002,01/07/2002,106605,2002,7,3,Ketchup
200207,212709,0.2584364,0.29,0.25,0.22,0.0772007,174,01/07/2002,01/07/2002,106605,2002,7,3,oranges
200208,212717,1.312894,1.45,1.3,1.16,0.2538267,175,01/08/2002,01/08/2002,104997,2002,8,3,apples
200208,212709,0.2532847,0.29,0.25,0.22,0.0781059,175,01/08/2002,01/08/2002,104997,2002,8,3,oranges
200208,212917,0.6310569,0.69,0.62,0.56,0.1258337,175,01/08/2002,01/08/2002,104997,2002,8,3,Ketchup
200208,212515,1.280569,1.43,1.1,0.99,0.4435414,175,01/08/2002,01/08/2002,104997,2002,8,3,Tomatoes
200209,212709,0.2541923,0.29,0.25,0.22,0.0765201,176,01/09/2002,01/09/2002,103963,2002,9,3,oranges
200209,212717,1.260037,1.39,1.29,1.08,0.275969,176,01/09/2002,01/09/2002,103963,2002,9,3,apples
200209,212917,0.628374,0.67,0.62,0.56,0.1260456,176,01/09/2002,01/09/2002,103963,2002,9,3,Ketchup
200209,212515,1.310866,1.5,1.23,0.99,0.4192237,176,01/09/2002,01/09/2002,103963,2002,9,3,Tomatoes
200210,212917,0.63,0.69,0.62,0.58,0.1264161,177,01/10/2002,01/10/2002,105493,2002,10,4,Ketchup
200210,212717,1.232201,1.34,1.28,1,0.2817322,177,01/10/2002,01/10/2002,105493,2002,10,4,apples
200210,212515,1.541155,1.74,1.39,1.27,0.382491,177,01/10/2002,01/10/2002,105493,2002,10,4,Tomatoes
200210,212709,0.2542222,0.29,0.25,0.2,0.0777755,177,01/10/2002,01/10/2002,105493,2002,10,4,oranges
200211,212917,0.6271428,0.69,0.62,0.56,0.1294522,178,01/11/2002,01/11/2002,106130,2002,11,4,Ketchup
200211,212717,1.218893,1.34,1.19,0.99,0.2826991,178,01/11/2002,01/11/2002,106130,2002,11,4,apples
200211,212709,0.2575,0.29,0.25,0.2,0.0812608,178,01/11/2002,01/11/2002,106130,2002,11,4,oranges
200211,212515,1.307331,1.43,1.28,1.08,0.3488223,178,01/11/2002,01/11/2002,106130,2002,11,4,Tomatoes
200212,212515,1.411654,1.565,1.405,1.19,0.3245341,179,01/12/2002,01/12/2002,106032,2002,12,4,Tomatoes
200212,212717,1.234239,1.35,1.235,1.03,0.272192,179,01/12/2002,01/12/2002,106032,2002,12,4,apples
200212,212709,0.2629348,0.3,0.25,0.2,0.0788906,179,01/12/2002,01/12/2002,106032,2002,12,4,oranges
200212,212917,0.6191803,0.69,0.62,0.55,0.1275425,179,01/12/2002,01/12/2002,106032,2002,12,4,Ketchup
200301,212717,1.231544,1.34,1.19,1.08,0.2740522,180,01/01/2003,01/01/2003,103660,2003,1,1,apples
200301,212917,0.6182787,0.69,0.62,0.55,0.1225803,180,01/01/2003,01/01/2003,103660,2003,1,1,Ketchup
200301,212515,1.397419,1.52,1.32,1.19,0.331724,180,01/01/2003,01/01/2003,103660,2003,1,1,Tomatoes
200301,212709,0.2627138,0.3,0.25,0.2,0.081119,180,01/01/2003,01/01/2003,103660,2003,1,1,oranges
200302,212515,1.467138,1.65,1.35,1.18,0.3995319,181,01/02/2003,01/02/2003,106569,2003,2,1,Tomatoes
200302,212917,0.5921264,0.65,0.58,0.55,0.1449479,181,01/02/2003,01/02/2003,106569,2003,2,1,Ketchup
200302,212709,0.2694615,0.3,0.25,0.2,0.0823104,181,01/02/2003,01/02/2003,106569,2003,2,1,oranges
200302,212016,1.910833,2.19,1.965,1.67,0.4324594,181,01/02/2003,01/02/2003,106569,2003,2,1,orange juice
200302,212717,1.268502,1.39,1.25,1.08,0.272816,181,01/02/2003,01/02/2003,106569,2003,2,1,apples
200303,212709,0.2746296,0.3,0.29,0.2,0.0831739,182,01/03/2003,01/03/2003,107246,2003,3,1,oranges
200303,212917,0.5874302,0.65,0.58,0.55,0.1278653,182,01/03/2003,01/03/2003,107246,2003,3,1,Ketchup
200303,212717,1.261734,1.39,1.24,1.08,0.2795491,182,01/03/2003,01/03/2003,107246,2003,3,1,apples
200303,212515,1.55,1.74,1.45,1.29,0.4610113,182,01/03/2003,01/03/2003,107246,2003,3,1,Tomatoes
200303,212016,1.821349,2.15,1.89,1.59,0.4309178,182,01/03/2003,01/03/2003,107246,2003,3,1,orange juice
200304,212016,1.904299,2.19,1.95,1.67,0.4297435,183,01/04/2003,01/04/2003,96279,2003,4,2,orange juice
200304,212917,0.6014286,0.65,0.59,0.58,0.1244268,183,01/04/2003,01/04/2003,96279,2003,4,2,Ketchup
200304,212717,1.301753,1.49,1.29,1.09,0.2728474,183,01/04/2003,01/04/2003,96279,2003,4,2,apples
200304,212709,0.2757438,0.32,0.285,0.22,0.0849632,183,01/04/2003,01/04/2003,96279,2003,4,2,oranges
200304,212515,1.70642,1.96,1.59,1.45,0.4514261,183,01/04/2003,01/04/2003,96279,2003,4,2,Tomatoes
200305,212016,1.927339,2.19,1.95,1.67,0.4281823,184,01/05/2003,01/05/2003,99396,2003,5,2,orange juice
200305,212717,1.322568,1.5,1.3,1.09,0.280863,184,01/05/2003,01/05/2003,99396,2003,5,2,apples
200305,212917,0.6063415,0.69,0.59,0.58,0.1305742,184,01/05/2003,01/05/2003,99396,2003,5,2,Ketchup
200305,212709,0.2682114,0.3,0.255,0.2,0.0852754,184,01/05/2003,01/05/2003,99396,2003,5,2,oranges
200305,212515,1.467088,1.65,1.32,1.28,0.4420372,184,01/05/2003,01/05/2003,99396,2003,5,2,Tomatoes
200306,212016,1.926,2.19,1.99,1.67,0.4191389,185,01/06/2003,01/06/2003,100902,2003,6,2,orange juice
200306,212709,0.272459,0.3,0.26,0.2,0.0848025,185,01/06/2003,01/06/2003,100902,2003,6,2,oranges
200306,212917,0.5966216,0.69,0.59,0.565,0.1335061,185,01/06/2003,01/06/2003,100902,2003,6,2,Ketchup
200306,212515,1.534039,1.74,1.49,1.18,0.4182017,185,01/06/2003,01/06/2003,100902,2003,6,2,Tomatoes
200306,212717,1.312078,1.5,1.3,1.09,0.3056476,185,01/06/2003,01/06/2003,100902,2003,6,2,apples
200307,212917,0.5975294,0.69,0.58,0.56,0.1326775,186,01/07/2003,01/07/2003,101269,2003,7,3,Ketchup
200307,212709,0.2721687,0.3,0.26,0.2,0.0877181,186,01/07/2003,01/07/2003,101269,2003,7,3,oranges
200307,212515,1.465059,1.65,1.32,1.18,0.3382666,186,01/07/2003,01/07/2003,101269,2003,7,3,Tomatoes
200307,212016,1.867818,2.19,1.82,1.67,0.4423631,186,01/07/2003,01/07/2003,101269,2003,7,3,orange juice
200307,212717,1.338933,1.5,1.3,1.1,0.2949577,186,01/07/2003,01/07/2003,101269,2003,7,3,apples
200308,212709,0.273745,0.3,0.27,0.22,0.085184,187,01/08/2003,01/08/2003,100534,2003,8,3,oranges
200308,212515,1.518953,1.74,1.49,1.19,0.3735497,187,01/08/2003,01/08/2003,100534,2003,8,3,Tomatoes
200308,212717,1.34656,1.5,1.3,1.1,0.2884917,187,01/08/2003,01/08/2003,100534,2003,8,3,apples
200308,212917,0.6270455,0.69,0.64,0.59,0.1376468,187,01/08/2003,01/08/2003,100534,2003,8,3,Ketchup
200308,212016,1.874234,2.29,1.89,1.67,0.4504575,187,01/08/2003,01/08/2003,100534,2003,8,3,orange juice
200309,212709,0.271746,0.3,0.265,0.21,0.084378,188,01/09/2003,01/09/2003,101448,2003,9,3,oranges
200309,212917,0.6368333,0.73,0.64,0.64,0.1410673,188,01/09/2003,01/09/2003,101448,2003,9,3,Ketchup
200309,212717,1.347016,1.51,1.3,1.1,0.2954266,188,01/09/2003,01/09/2003,101448,2003,9,3,apples
200309,212515,2.075709,2.2,1.99,1.79,0.460856,188,01/09/2003,01/09/2003,101448,2003,9,3,Tomatoes
200309,212016,1.668198,2.19,1.67,1.29,0.5015888,188,01/09/2003,01/09/2003,101448,2003,9,3,orange juice
200310,212016,1.836325,2.19,1.69,1.64,0.4597987,189,01/10/2003,01/10/2003,104513,2003,10,4,orange juice
200310,212717,1.327247,1.45,1.29,1.17,0.3221544,189,01/10/2003,01/10/2003,104513,2003,10,4,apples
200310,212709,0.2740562,0.3,0.27,0.2,0.0863928,189,01/10/2003,01/10/2003,104513,2003,10,4,oranges
200310,212515,2.036836,2.18,1.96,1.79,0.3864516,189,01/10/2003,01/10/2003,104513,2003,10,4,Tomatoes
200310,212917,0.6286932,0.69,0.64,0.58,0.1441031,189,01/10/2003,01/10/2003,104513,2003,10,4,Ketchup
200311,212917,0.6274869,0.69,0.64,0.59,0.1432001,190,01/11/2003,01/11/2003,109068,2003,11,4,Ketchup
200311,212717,1.309403,1.49,1.29,1.1,0.2780773,190,01/11/2003,01/11/2003,109068,2003,11,4,apples
200311,212016,1.807462,2.19,1.69,1.64,0.4480835,190,01/11/2003,01/11/2003,109068,2003,11,4,orange juice
200311,212515,1.717345,1.89,1.69,1.43,0.3950984,190,01/11/2003,01/11/2003,109068,2003,11,4,Tomatoes
200311,212709,0.2775735,0.33,0.27,0.2,0.0861904,190,01/11/2003,01/11/2003,109068,2003,11,4,oranges
200312,212709,0.2750368,0.315,0.285,0.2,0.0875202,191,01/12/2003,01/12/2003,110012,2003,12,4,oranges
200312,212917,0.6265482,0.69,0.64,0.59,0.1435173,191,01/12/2003,01/12/2003,110012,2003,12,4,Ketchup
200312,212515,1.620253,1.75,1.5,1.38,0.3848352,191,01/12/2003,01/12/2003,110012,2003,12,4,Tomatoes
200312,212717,1.312161,1.5,1.29,1.09,0.276532,191,01/12/2003,01/12/2003,110012,2003,12,4,apples
200312,212016,1.807372,2.19,1.69,1.62,0.4524871,191,01/12/2003,01/12/2003,110012,2003,12,4,orange juice
200401,212917,0.63225,0.73,0.64,0.64,0.1418416,192,01/01/2004,01/01/2004,107904,2004,1,1,Ketchup
200401,212016,1.763407,2.09,1.67,1.62,0.4341008,192,01/01/2004,01/01/2004,107904,2004,1,1,orange juice
200401,212709,0.2739706,0.3,0.265,0.21,0.0834079,192,01/01/2004,01/01/2004,107904,2004,1,1,oranges
200401,212717,1.307378,1.49,1.29,1.08,0.2867524,192,01/01/2004,01/01/2004,107904,2004,1,1,apples
200401,212515,1.493396,1.6,1.35,1.28,0.43606,192,01/01/2004,01/01/2004,107904,2004,1,1,Tomatoes
200402,212917,0.6240984,0.69,0.64,0.64,0.1388933,193,01/02/2004,01/02/2004,103439,2004,2,1,Ketchup
200402,212709,0.2758943,0.3,0.25,0.22,0.0832148,193,01/02/2004,01/02/2004,103439,2004,2,1,oranges
200402,212717,1.320558,1.49,1.29,1.09,0.3065037,193,01/02/2004,01/02/2004,103439,2004,2,1,apples
200402,212515,1.45584,1.54,1.35,1.29,0.3544738,193,01/02/2004,01/02/2004,103439,2004,2,1,Tomatoes
200402,212016,1.697304,1.99,1.67,1.62,0.4475397,193,01/02/2004,01/02/2004,103439,2004,2,1,orange juice
200403,212515,1.572008,1.76,1.49,1.29,0.4051842,194,01/03/2004,01/03/2004,105011,2004,3,1,Tomatoes
200403,212709,0.2706773,0.3,0.25,0.21,0.0852663,194,01/03/2004,01/03/2004,105011,2004,3,1,oranges
200403,212917,0.6123837,0.66,0.64,0.64,0.1355242,194,01/03/2004,01/03/2004,105011,2004,3,1,Ketchup
200403,212016,1.713984,1.99,1.66,1.62,0.4446121,194,01/03/2004,01/03/2004,105011,2004,3,1,orange juice
200403,212717,1.336475,1.52,1.29,1.09,0.3108237,194,01/03/2004,01/03/2004,105011,2004,3,1,apples
200404,212917,0.6060452,0.66,0.64,0.59,0.1283911,195,01/04/2004,01/04/2004,105509,2004,4,2,Ketchup
200404,212717,1.336537,1.54,1.3,1.09,0.3078721,195,01/04/2004,01/04/2004,105509,2004,4,2,apples
200404,212709,0.271417,0.32,0.25,0.2,0.0892016,195,01/04/2004,01/04/2004,105509,2004,4,2,oranges
200404,212016,1.67681,1.85,1.62,1.62,0.3835341,195,01/04/2004,01/04/2004,105509,2004,4,2,orange juice
200404,212515,1.548405,1.74,1.45,1.3,0.4245974,195,01/04/2004,01/04/2004,105509,2004,4,2,Tomatoes
200405,212016,1.637395,1.89,1.62,1.53,0.439251,196,01/05/2004,01/05/2004,107319,2004,5,2,orange juice
200405,212709,0.268659,0.3,0.25,0.2,0.0898638,196,01/05/2004,01/05/2004,107319,2004,5,2,oranges
200405,212515,1.441,1.59,1.3,1.09,0.4413245,196,01/05/2004,01/05/2004,107319,2004,5,2,Tomatoes
200405,212917,0.60887,0.66,0.64,0.64,0.1316455,196,01/05/2004,01/05/2004,107319,2004,5,2,Ketchup
200405,212717,1.319416,1.49,1.3,1.09,0.2821819,196,01/05/2004,01/05/2004,107319,2004,5,2,apples
200406,212917,0.5897312,0.66,0.64,0.41,0.137032,197,01/06/2004,01/06/2004,107774,2004,6,2,Ketchup
200406,212515,1.332793,1.52,1.19,1.08,0.398066,197,01/06/2004,01/06/2004,107774,2004,6,2,Tomatoes
