Entity,Code,Year,CO2_per_capita,code2
Moldova,MDA,2021,1.8296566,mda
Colombia,COL,2021,1.7800757,col
Belize,BLZ,2021,1.7231431,blz
Peru,PER,2021,1.669323,per
Tonga,TON,2021,1.6490842,ton
Albania,ALB,2021,1.618066,alb
Fiji,FJI,2021,1.5902857,fji
Namibia,NAM,2021,1.5867921,nam
Costa Rica,CRI,2021,1.5171846,cri
Kyrgyzstan,KGZ,2021,1.4259297,kgz
Micronesia (country),FSM,2021,1.4049654,fsm
Samoa,WSM,2021,1.3441752,wsm
Paraguay,PRY,2021,1.2793584,pry
Congo,COG,2021,1.2790622,cog
Philippines,PHL,2021,1.2668023,phl
Syria,SYR,2021,1.2661933,syr
Guatemala,GTM,2021,1.1543926,gtm
Cambodia,KHM,2021,1.1470591,khm
El Salvador,SLV,2021,1.1409876,slv
Cape Verde,CPV,2021,1.1356577,cpv
Honduras,HND,2021,1.060269,hnd
Tajikistan,TJK,2021,1.060136,tjk
Lesotho,LSO,2021,1.0003072,lso
Pakistan,PAK,2021,0.99183357,pak
Sri Lanka,LKA,2021,0.9544157,lka
Eswatini,SWZ,2021,0.91188765,swz
Mauritania,MRT,2021,0.8923355,mrt
Mayotte,MYT,2021,0.86475307,myt
Papua New Guinea,PNG,2021,0.85528,png
Senegal,SEN,2021,0.8057197,sen
Nicaragua,NIC,2021,0.7385937,nic
Tuvalu,TUV,2021,0.70781016,tuv
Zimbabwe,ZWE,2021,0.7062929,zwe
Myanmar,MMR,2021,0.67487085,mmr
Ghana,GHA,2021,0.64912677,gha
Nigeria,NGA,2021,0.6419209,nga
Angola,AGO,2021,0.6191414,ago
Palestine,PSE,2021,0.6023757,pse
Benin,BEN,2021,0.5967434,ben
Sao Tome and Principe,STP,2021,0.5915166,stp
Timor,TLS,2021,0.5574256,tls
Kiribati,KIR,2021,0.5550228,kir
Bangladesh,BGD,2021,0.5501772,bgd
Vanuatu,VUT,2021,0.54789656,vut
Nepal,NPL,2021,0.47188523,npl
Sudan,SDN,2021,0.46078634,sdn
Solomon Islands,SLB,2021,0.44913858,slb
Cote d'Ivoire,CIV,2021,0.42603302,civ
Zambia,ZMB,2021,0.39419338,zmb
Yemen,YEM,2021,0.3782891,yem
Kenya,KEN,2021,0.37496784,ken
Comoros,COM,2021,0.3629009,com
Guinea,GIN,2021,0.35780457,gin
Djibouti,DJI,2021,0.34297308,dji
Cameroon,CMR,2021,0.3418291,cmr
Afghanistan,AFG,2021,0.29611897,afg
Togo,TGO,2021,0.27091572,tgo
Burkina Faso,BFA,2021,0.25783187,bfa
Haiti,HTI,2021,0.25122553,hti
Gambia,GMB,2021,0.24837817,gmb
Liberia,LBR,2021,0.23014884,lbr
Eritrea,ERI,2021,0.22666506,eri
Mozambique,MOZ,2021,0.2230942,moz
Tanzania,TZA,2021,0.20536575,tza
Mali,MLI,2021,0.19035652,mli
Guinea-Bissau,GNB,2021,0.17073512,gnb
Sierra Leone,SLE,2021,0.15431175,sle
Ethiopia,ETH,2021,0.14792238,eth
South Sudan,SSD,2021,0.14719196,ssd
Madagascar,MDG,2021,0.146784,mdg
Rwanda,RWA,2021,0.13033324,rwa
Uganda,UGA,2021,0.12606297,uga
Chad,TCD,2021,0.11291891,tcd
Niger,NER,2021,0.10687553,ner
Malawi,MWI,2021,0.07803988,mwi
Burundi,BDI,2021,0.055206448,bdi
Central African Republic,CAF,2021,0.041650932,caf
Somalia,SOM,2021,0.035766363,som
Democratic Republic of Congo,COD,2021,0.027182981,cod
